State,District,Total Sex Ratio,Rural Sex Ration,Urban Ratio,Total Households,Rural Households,Urban Households,Total Households With Electricity Pct,Rural Households With Electricity Pct,Urban Households With Electricity Pct,Total Households With Landline Conn Pct,Rural Households With Landline Conn Pct,Urban Households With Landline Conn Pct,Total Households With Mobile Conn Pct,Rural Households With Mobile Conn Pct,Urban Households With Mobile Conn Pct,Total Households With Internet Pct,Rural Households With Internet Pct,Urban Households With Internet Pct
Andaman And Nicobar Islands,Nicobar,777.0,777.0,-,9959.0,9959.0,-,93.39291093483281,93.39291093483281,15,2.81,2.81,0.0,62.64,62.64,0.0,0.57,0.57,0.0
Andaman And Nicobar Islands,North And Middle Andaman,925.0,924.0,952.0,26327.0,25586.0,741.0,70.80563679872375,70.41741577425155,84.21052631578947,3.36,3.39,2.43,61.32,61.17,66.67,1.47,1.46,1.89
Andaman And Nicobar Islands,South Andaman (Andaman),871.0,869.0,872.0,57090.0,23485.0,33605.0,91.92327903310562,83.17649563551203,98.03600654664486,2.94,3.19,2.76,78.65,74.52,81.54,4.89,1.67,7.13
Andhra Pradesh,Anantapur,977.0,971.0,991.0,961165.0,698439.0,262726.0,93.42516633460436,91.92842896802728,97.40413967403302,1.19,0.97,1.59,54.92,49.76,64.58,0.57,0.29,1.1
Andhra Pradesh,Srikakulam,1015.0,1011.0,1033.0,689323.0,580048.0,109275.0,89.28064202122953,87.97065070476926,96.2342713337909,2.73,2.62,3.32,42.77,39.9,58.03,0.58,0.31,2.02
Andhra Pradesh,Visakhapatnam,1006.0,1025.0,985.0,1126166.0,583474.0,542692.0,89.70702365370647,83.21004877680926,96.69223058383024,3.51,1.84,5.3,49.87,35.22,65.63,4.04,0.47,7.88
Andhra Pradesh,Vizianagaram,1019.0,1014.0,1037.0,596605.0,475145.0,121460.0,88.45651645561134,86.68553809889613,95.38448872056644,2.21,2.0,3.05,39.61,35.35,56.3,0.75,0.24,2.74
Andhra Pradesh,West Godavari,1004.0,996.0,1033.0,1075780.0,870607.0,205173.0,94.58885645764003,93.9039084225144,97.49528446725446,5.27,5.25,5.33,44.44,41.99,54.83,1.12,0.53,3.61
Andhra Pradesh,Chittoor,997.0,996.0,999.0,1022116.0,727635.0,294481.0,92.4117223485397,90.25417963676844,97.74280853433667,3.46,3.16,4.21,54.9,49.86,67.36,1.35,0.4,3.68
Andhra Pradesh,East Godavari,1006.0,998.0,1030.0,1407410.0,1063044.0,344366.0,92.17449073120129,90.50039321044096,97.34236248642432,4.65,4.47,5.18,43.65,39.1,57.68,1.59,0.65,4.51
Andhra Pradesh,Guntur,1003.0,995.0,1018.0,1287831.0,877109.0,410722.0,92.09500314870508,90.20737445403023,96.12609015343712,4.83,4.97,4.53,47.93,43.0,58.47,1.51,0.47,3.7
Andhra Pradesh,Ysr (Kadapa),985.0,983.0,990.0,703136.0,475919.0,227217.0,95.53827424566514,94.54423967103645,97.62033650651139,2.64,2.29,3.37,58.08,53.61,67.45,0.95,0.47,1.96
Andhra Pradesh,Krishna,992.0,990.0,996.0,1227257.0,754361.0,472896.0,94.84011906226651,93.04616755107965,97.70182027337935,6.02,6.72,5.36,48.74,40.37,62.1,2.48,0.59,5.5
Andhra Pradesh,Kurnool,988.0,983.0,1000.0,877182.0,630786.0,246396.0,93.1073597041435,91.71176912613787,96.68014091137843,3.49,2.9,5.0,59.18,55.68,68.13,1.15,0.4,3.08
Andhra Pradesh,Prakasam,981.0,977.0,1001.0,857276.0,692542.0,164734.0,89.08986137486644,87.59078871750738,95.39196522879308,2.93,2.76,3.61,52.62,49.69,64.91,0.72,0.34,2.3
Andhra Pradesh,Sri Potti Sriramulu Nellore,985.0,985.0,985.0,772625.0,567914.0,204711.0,90.08561721404304,87.69796131104357,96.70950754966758,3.82,3.72,4.09,49.3,44.79,61.81,1.32,0.41,3.85
Arunachal,Anjaw,839.0,855.0,571.0,4180.0,4060.0,120.0,46.6267942583732,45.073891625615765,99.16666666666667,1.32,1.33,0.83,24.57,23.25,69.17,0.65,0.67,0.0
Arunachal Pradesh,Papum Pare,980.0,993,969,33476.0,13537.0,19939.0,91.2265503644402,81.51732289281229,97.81834595516324,4.17,3.07,4.93,68.19,56.22,76.32,7.4,3.79,9.85
